RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1,55,144.0,4,84,20,3,0,83,2.0,3,5,23,1,43,0.0,0,0,33.0,68.5286090866801,8.0,1.0,1.0,69.0
1,61,58.0,15,41,2,4,4,100,15.0,0,8,7,0,67,0.0,0,0,0.0,68.5286090866801,0.0,2.485067169978905,1.0920840064620356,0.0
1,67,66.0,5,24,9,0,0,100,15.0,7,8,9,4,44,0.0,4,4,53.0,66.0,4.0,2.0,1.0,86.0
1,66,169.0,1,73,28,1,1,93,76.0,6,6,30,3,57,0.0,5,4,72.0,83.0,6.0,4.0,3.0,91.0
1,81,333.0,27,132,12,0,0,100,15.0,7,8,12,0,25,0.0,1,1,51.0,89.0,3.0,1.0,0.0,80.0
1,59,137.0,11,78,31,0,0,91,1.0,4,6,32,1,47,0.0,0,0,62.0,93.0,12.0,4.0,3.0,94.0
0,54,88.0,7,37,25,0,0,92,9.0,4,6,26,3,58,0.0,4,4,89.0,76.0,7.0,7.0,2.0,100.0
0,68,148.0,7,65,17,0,0,83,31.0,6,6,18,1,44,0.0,0,0,28.0,48.0,2.0,2.0,2.0,40.0
1,59,324.0,2,138,24,0,0,85,5.0,4,6,27,1,26,0.0,1,1,68.0,68.5286090866801,7.0,1.0,3.0,90.0
1,61,79.0,4,36,19,0,0,95,5.0,4,6,19,3,26,0.0,6,6,31.0,86.0,5.0,3.0,1.0,62.0
0,82,96.0,5,47,16,0,0,100,15.0,7,8,16,3,31,0.0,0,0,15.0,88.0,4.0,2.0,0.0,67.0
1,50,311.0,25,76,12,1,0,60,2.0,3,5,15,0,20,0.0,1,1,84.0,64.0,5.0,2.0,2.0,88.0
1,74,274.0,2,66,23,0,0,100,15.0,6,8,28,4,39,0.0,2,2,18.0,65.0,3.0,5.0,1.0,67.0
0,69,256.0,6,117,11,1,1,100,15.0,7,8,14,1,8,0.0,0,0,13.0,68.5286090866801,2.0,2.485067169978905,0.0,67.0
1,63,262.0,26,95,3,2,2,75,27.0,6,4,6,0,100,0.0,0,0,34.862218549886386,68.5286090866801,4.101935749588138,1.0,1.0920840064620356,100.0
1,63,184.0,3,77,34,0,0,97,32.0,6,6,36,2,36,0.0,11,10,71.0,80.0,10.0,2.0,3.0,82.0
1,61,256.0,19,68,14,0,0,87,0.0,4,6,15,0,33,0.0,2,1,62.0,68.0,3.0,3.0,1.0,86.0
1,62,131.0,4,59,16,4,2,79,23.0,6,5,20,4,58,0.0,4,4,25.0,91.0,3.0,4.0,1.0,70.0
1,89,244.0,9,147,10,0,0,100,15.0,7,8,10,1,10,0.0,0,0,3.0,68.5286090866801,2.0,2.485067169978905,0.0,50.0
1,65,43.0,2,26,15,1,1,100,15.0,7,8,17,2,25,0.0,4,4,31.0,83.0,5.0,1.0,0.0,75.0
1,57,147.0,4,73,27,1,1,97,1.0,0,2,31,2,48,0.0,4,4,44.0,87.0,3.0,2.0,3.0,56.0
1,72,365.0,11,83,22,0,0,100,15.0,7,8,22,1,41,0.0,0,0,49.0,23.0,6.0,2.0,1.0,73.0
0,72,84.0,4,53,29,0,0,100,15.0,7,8,30,2,27,0.0,1,1,43.0,48.0,9.0,5.0,3.0,64.0
1,65,88.0,9,45,20,0,0,85,1.0,4,6,20,1,20,0.0,0,0,14.0,71.0,4.0,2.0,1.0,50.0
1,64,91.0,4,55,19,1,1,90,0.0,0,2,20,2,50,0.0,2,2,24.0,81.0,6.0,3.0,1.0,82.0
1,58,265.0,3,79,25,2,1,93,13.0,0,5,28,2,48,0.0,1,1,63.0,50.0,8.0,2.0,0.0,91.0
1,58,150.0,16,72,18,2,0,55,4.0,4,5,22,0,45,0.0,1,1,79.0,38.0,7.0,3.0,0.0,91.0
1,79,162.0,7,94,17,0,0,100,15.0,7,8,17,1,29,0.0,0,0,28.0,68.5286090866801,3.0,1.0,1.0,57.0
1,66,284.0,32,107,15,2,2,82,3.0,4,4,17,0,53,0.0,1,1,19.0,50.0,3.0,2.0,1.0,63.0
1,69,476.0,8,157,38,4,4,100,15.0,6,8,39,1,36,0.0,4,4,50.0,54.0,14.0,2.0,4.0,89.0
0,71,179.0,3,62,15,3,2,83,37.0,6,2,18,4,33,0.0,5,5,5.0,9.0,1.0,1.0,0.0,22.0
1,54,114.0,12,49,9,3,3,64,4.0,0,2,12,0,27,0.0,0,0,62.0,14.0,6.0,2.0,1.0,100.0
1,68,133.0,7,44,39,2,2,100,15.0,6,8,39,4,67,0.0,2,2,15.0,73.0,5.0,2.0,0.0,50.0
0,75,164.0,4,66,19,0,0,100,15.0,7,8,19,2,21,0.0,0,0,53.0,92.0,5.0,1.0,1.0,55.0
1,67,118.0,6,37,23,2,2,88,70.0,6,2,26,5,42,0.0,0,0,31.0,70.0,5.0,3.0,1.0,67.0
0,88,153.0,33,92,13,0,0,100,15.0,7,8,14,0,7,0.0,0,0,1.0,68.5286090866801,1.0,2.485067169978905,0.0,25.0
1,51,186.0,13,96,22,3,1,84,2.0,0,2,25,0,56,0.0,4,3,79.0,50.0,5.0,3.0,3.0,100.0
1,70,127.0,25,57,23,0,0,96,15.0,6,6,24,0,13,0.0,0,0,51.0,68.5286090866801,9.0,2.485067169978905,1.0,67.0
1,65,116.0,10,37,14,1,1,93,72.0,6,2,15,1,13,0.0,2,2,52.0,68.5286090866801,3.0,1.0,2.0,56.0
1,78,21.0,4,13,11,0,0,100,15.0,7,8,11,5,64,0.0,3,3,7.0,68.5286090866801,3.0,2.485067169978905,0.0,75.0
0,86,318.0,18,90,13,0,0,100,15.0,7,8,13,0,62,0.0,0,0,0.0,44.0,0.0,2.0,1.0920840064620356,50.0
0,90,230.0,13,73,11,0,0,100,15.0,7,8,13,0,62,0.0,0,0,1.0,71.0,1.0,4.0,0.0,71.0
1,76,293.0,4,74,33,0,0,100,15.0,7,8,34,1,38,0.0,2,2,37.0,68.5286090866801,13.0,1.0,0.0,88.0
1,70,37.0,4,20,19,0,0,100,15.0,7,8,20,2,20,0.0,3,3,42.0,73.0,2.0,2.0,1.0,50.0
1,73,255.0,16,100,40,0,0,100,15.0,7,8,44,0,23,0.0,1,1,79.0,68.5286090866801,18.0,1.0,13.0,80.0
1,72,209.0,2,95,41,0,0,100,15.0,7,8,42,3,38,0.0,1,1,42.0,68.5286090866801,7.0,2.0,2.0,82.0
0,83,398.0,3,118,29,0,0,100,15.0,7,8,29,2,31,0.0,3,3,22.0,87.0,6.0,3.0,0.0,69.0
